#collected from http://www.nrc.gov/reading-rm/doc-collections/event-status/reactor-status/PowerReactorStatusForLast365Days.txt on 8/30/2014
ReportDt|Unit|Power
08/22/2014|Turkey Point 4|73
08/22/2014|Vermont Yankee|100
08/22/2014|Vogtle 1|100
08/22/2014|Vogtle 2|100
08/22/2014|Waterford 3|100
08/22/2014|Watts Bar 1|100
08/22/2014|Wolf Creek 1|100
08/21/2014|Arkansas Nuclear 1|100
08/21/2014|Arkansas Nuclear 2|100
08/21/2014|Beaver Valley 1|100
08/21/2014|Beaver Valley 2|100
08/21/2014|Braidwood 1|100
08/21/2014|Braidwood 2|100
08/21/2014|Browns Ferry 1|97
08/21/2014|Browns Ferry 2|100
08/21/2014|Browns Ferry 3|100
08/21/2014|Brunswick 1|100
08/21/2014|Brunswick 2|100
08/21/2014|Byron 1|100
08/21/2014|Byron 2|100
08/21/2014|Callaway|100
08/21/2014|Calvert Cliffs 1|100
08/21/2014|Calvert Cliffs 2|100
08/21/2014|Catawba 1|100
08/21/2014|Catawba 2|100
08/21/2014|Clinton|98
08/21/2014|Columbia Generating Station|32
08/21/2014|Comanche Peak 1|100
08/21/2014|Comanche Peak 2|100
08/21/2014|Cooper|99
08/21/2014|D.C. Cook 1|100
08/21/2014|D.C. Cook 2|100
08/21/2014|Davis-Besse|100
08/21/2014|Diablo Canyon 1|100
08/21/2014|Diablo Canyon 2|53
08/21/2014|Dresden 2|100
08/21/2014|Dresden 3|100
08/21/2014|Duane Arnold|96
08/21/2014|Farley 1|100
08/21/2014|Farley 2|100
08/21/2014|Fermi 2|100
08/21/2014|FitzPatrick|50
08/21/2014|Fort Calhoun|100
08/21/2014|Ginna|100
08/21/2014|Grand Gulf 1|88
08/21/2014|Harris 1|100
08/21/2014|Hatch 1|100
08/21/2014|Hatch 2|100
08/21/2014|Hope Creek 1|100
08/21/2014|Indian Point 2|100
08/21/2014|Indian Point 3|100
08/21/2014|La Salle 1|100
08/21/2014|La Salle 2|100
08/21/2014|Limerick 1|100
08/21/2014|Limerick 2|100
08/21/2014|McGuire 1|100
08/21/2014|McGuire 2|100
08/21/2014|Millstone 2|100
08/21/2014|Millstone 3|100
08/21/2014|Monticello|88
08/21/2014|Nine Mile Point 1|100
08/21/2014|Nine Mile Point 2|100
08/21/2014|North Anna 1|100
08/21/2014|North Anna 2|100
08/21/2014|Oconee 1|100
08/21/2014|Oconee 2|100
08/21/2014|Oconee 3|100
08/21/2014|Oyster Creek|100
08/21/2014|Palisades|100
08/21/2014|Palo Verde 1|100
08/21/2014|Palo Verde 2|100
08/21/2014|Palo Verde 3|100
08/21/2014|Peach Bottom 2|100
08/21/2014|Peach Bottom 3|100
08/21/2014|Perry 1|100
08/21/2014|Pilgrim 1|21
08/21/2014|Point Beach 1|100
08/21/2014|Point Beach 2|100
08/21/2014|Prairie Island 1|100
08/21/2014|Prairie Island 2|100
08/21/2014|Quad Cities 1|100
08/21/2014|Quad Cities 2|100
08/21/2014|River Bend 1|100
08/21/2014|Robinson 2|100
08/21/2014|Saint Lucie 1|100
08/21/2014|Saint Lucie 2|100
08/21/2014|Salem 1|100
08/21/2014|Salem 2|100
08/21/2014|Seabrook 1|100
08/21/2014|Sequoyah 1|100
08/21/2014|Sequoyah 2|100
08/21/2014|South Texas 1|100
08/21/2014|South Texas 2|100
08/21/2014|Summer|100
08/21/2014|Surry 1|100
08/21/2014|Surry 2|100
08/21/2014|Susquehanna 1|100
08/21/2014|Susquehanna 2|100
08/21/2014|Three Mile Island 1|100
08/21/2014|Turkey Point 3|98
08/21/2014|Turkey Point 4|100
08/21/2014|Vermont Yankee|100
08/21/2014|Vogtle 1|100
08/21/2014|Vogtle 2|100
08/21/2014|Waterford 3|100
08/21/2014|Watts Bar 1|100
08/21/2014|Wolf Creek 1|100
08/20/2014|Arkansas Nuclear 1|100
08/20/2014|Arkansas Nuclear 2|100
08/20/2014|Beaver Valley 1|100
08/20/2014|Beaver Valley 2|100
08/20/2014|Braidwood 1|100
08/20/2014|Braidwood 2|100
08/20/2014|Browns Ferry 1|98
08/20/2014|Browns Ferry 2|100
08/20/2014|Browns Ferry 3|100
08/20/2014|Brunswick 1|100
08/20/2014|Brunswick 2|100
08/20/2014|Byron 1|100
08/20/2014|Byron 2|100
08/20/2014|Callaway|100
08/20/2014|Calvert Cliffs 1|100
08/20/2014|Calvert Cliffs 2|100
08/20/2014|Catawba 1|100
08/20/2014|Catawba 2|100
08/20/2014|Clinton|98
08/20/2014|Columbia Generating Station|27
08/20/2014|Comanche Peak 1|100
08/20/2014|Comanche Peak 2|100
08/20/2014|Cooper|100
08/20/2014|D.C. Cook 1|100
08/20/2014|D.C. Cook 2|100
08/20/2014|Davis-Besse|100
08/20/2014|Diablo Canyon 1|100
08/20/2014|Diablo Canyon 2|52
08/20/2014|Dresden 2|100
08/20/2014|Dresden 3|100
08/20/2014|Duane Arnold|97
08/20/2014|Farley 1|100
08/20/2014|Farley 2|100
08/20/2014|Fermi 2|100
08/20/2014|FitzPatrick|85
08/20/2014|Fort Calhoun|100
08/20/2014|Ginna|100
08/20/2014|Grand Gulf 1|79
08/20/2014|Harris 1|100
08/20/2014|Hatch 1|100
08/20/2014|Hatch 2|100
08/20/2014|Hope Creek 1|100
08/20/2014|Indian Point 2|100
08/20/2014|Indian Point 3|100
08/20/2014|La Salle 1|100
08/20/2014|La Salle 2|100
08/20/2014|Limerick 1|100
08/20/2014|Limerick 2|100
08/20/2014|McGuire 1|100
08/20/2014|McGuire 2|100
08/20/2014|Millstone 2|100
08/20/2014|Millstone 3|100
08/20/2014|Monticello|88
08/20/2014|Nine Mile Point 1|100
08/20/2014|Nine Mile Point 2|100
08/20/2014|North Anna 1|100
08/20/2014|North Anna 2|100
08/20/2014|Oconee 1|100
08/20/2014|Oconee 2|100
08/20/2014|Oconee 3|100
08/20/2014|Oyster Creek|100
08/20/2014|Palisades|100
08/20/2014|Palo Verde 1|100
08/20/2014|Palo Verde 2|100
08/20/2014|Palo Verde 3|100
08/20/2014|Peach Bottom 2|100
08/20/2014|Peach Bottom 3|100
08/20/2014|Perry 1|100
08/20/2014|Pilgrim 1|21
08/20/2014|Point Beach 1|100
08/20/2014|Point Beach 2|100
08/20/2014|Prairie Island 1|100
08/20/2014|Prairie Island 2|100
08/20/2014|Quad Cities 1|100
08/20/2014|Quad Cities 2|100
08/20/2014|River Bend 1|100
08/20/2014|Robinson 2|100
08/20/2014|Saint Lucie 1|100
08/20/2014|Saint Lucie 2|100
08/20/2014|Salem 1|100
08/20/2014|Salem 2|100
08/20/2014|Seabrook 1|100
08/20/2014|Sequoyah 1|100
08/20/2014|Sequoyah 2|100
08/20/2014|South Texas 1|100
08/20/2014|South Texas 2|100
08/20/2014|Summer|100
08/20/2014|Surry 1|100
08/20/2014|Surry 2|100
08/20/2014|Susquehanna 1|100
08/20/2014|Susquehanna 2|100
08/20/2014|Three Mile Island 1|100
08/20/2014|Turkey Point 3|100
08/20/2014|Turkey Point 4|100
08/20/2014|Vermont Yankee|100
08/20/2014|Vogtle 1|100
08/20/2014|Vogtle 2|100
08/20/2014|Waterford 3|100
08/20/2014|Watts Bar 1|100
08/20/2014|Wolf Creek 1|100
08/19/2014|Arkansas Nuclear 1|100
08/19/2014|Arkansas Nuclear 2|100
08/19/2014|Beaver Valley 1|100
08/19/2014|Beaver Valley 2|100
08/19/2014|Braidwood 1|100
08/19/2014|Braidwood 2|100
08/19/2014|Browns Ferry 1|98
08/19/2014|Browns Ferry 2|100
08/19/2014|Browns Ferry 3|100
08/19/2014|Brunswick 1|100
08/19/2014|Brunswick 2|100
08/19/2014|Byron 1|100
08/19/2014|Byron 2|100
08/19/2014|Callaway|100
08/19/2014|Calvert Cliffs 1|100
08/19/2014|Calvert Cliffs 2|100
08/19/2014|Catawba 1|100
08/19/2014|Catawba 2|100
08/19/2014|Clinton|98
08/19/2014|Columbia Generating Station|47
08/19/2014|Comanche Peak 1|100
08/19/2014|Comanche Peak 2|100
08/19/2014|Cooper|100
08/19/2014|D.C. Cook 1|100
08/19/2014|D.C. Cook 2|100
08/19/2014|Davis-Besse|100
08/19/2014|Diablo Canyon 1|100
08/19/2014|Diablo Canyon 2|40
08/19/2014|Dresden 2|100
08/19/2014|Dresden 3|100
08/19/2014|Duane Arnold|91
08/19/2014|Farley 1|100
08/19/2014|Farley 2|100
08/19/2014|Fermi 2|100
08/19/2014|FitzPatrick|85
08/19/2014|Fort Calhoun|100
08/19/2014|Ginna|100
08/19/2014|Grand Gulf 1|100
08/19/2014|Harris 1|100
08/19/2014|Hatch 1|100
08/19/2014|Hatch 2|100
08/19/2014|Hope Creek 1|100
08/19/2014|Indian Point 2|100
08/19/2014|Indian Point 3|100
08/19/2014|La Salle 1|100
08/19/2014|La Salle 2|78
08/19/2014|Limerick 1|100
08/19/2014|Limerick 2|100
08/19/2014|McGuire 1|100
08/19/2014|McGuire 2|100
08/19/2014|Millstone 2|100
08/19/2014|Millstone 3|100
08/19/2014|Monticello|88
08/19/2014|Nine Mile Point 1|100
08/19/2014|Nine Mile Point 2|100
08/19/2014|North Anna 1|100
08/19/2014|North Anna 2|100
08/19/2014|Oconee 1|100
08/19/2014|Oconee 2|100
08/19/2014|Oconee 3|100
08/19/2014|Oyster Creek|100
08/19/2014|Palisades|100
08/19/2014|Palo Verde 1|100
08/19/2014|Palo Verde 2|100
08/19/2014|Palo Verde 3|100
08/19/2014|Peach Bottom 2|100
08/19/2014|Peach Bottom 3|100
08/19/2014|Perry 1|100
08/19/2014|Pilgrim 1|21
08/19/2014|Point Beach 1|100
08/19/2014|Point Beach 2|100
08/19/2014|Prairie Island 1|100
08/19/2014|Prairie Island 2|100
08/19/2014|Quad Cities 1|100
08/19/2014|Quad Cities 2|100
08/19/2014|River Bend 1|100
08/19/2014|Robinson 2|100
08/19/2014|Saint Lucie 1|100
08/19/2014|Saint Lucie 2|100
08/19/2014|Salem 1|100
08/19/2014|Salem 2|100
08/19/2014|Seabrook 1|100
08/19/2014|Sequoyah 1|100
08/19/2014|Sequoyah 2|100
08/19/2014|South Texas 1|100
08/19/2014|South Texas 2|100
08/19/2014|Summer|100
08/19/2014|Surry 1|100
08/19/2014|Surry 2|100
08/19/2014|Susquehanna 1|100
08/19/2014|Susquehanna 2|100
08/19/2014|Three Mile Island 1|100
08/19/2014|Turkey Point 3|100
08/19/2014|Turkey Point 4|100
08/19/2014|Vermont Yankee|100
08/19/2014|Vogtle 1|100
08/19/2014|Vogtle 2|100
08/19/2014|Waterford 3|100
08/19/2014|Watts Bar 1|100
08/19/2014|Wolf Creek 1|100
08/18/2014|Arkansas Nuclear 1|100
08/18/2014|Arkansas Nuclear 2|100
08/18/2014|Beaver Valley 1|100
08/18/2014|Beaver Valley 2|100
08/18/2014|Braidwood 1|100
08/18/2014|Braidwood 2|100
08/18/2014|Browns Ferry 1|99
08/18/2014|Browns Ferry 2|100
08/18/2014|Browns Ferry 3|100
08/18/2014|Brunswick 1|100
08/18/2014|Brunswick 2|100
08/18/2014|Byron 1|100
08/18/2014|Byron 2|100
08/18/2014|Callaway|100
08/18/2014|Calvert Cliffs 1|100
08/18/2014|Calvert Cliffs 2|100
08/18/2014|Catawba 1|100
08/18/2014|Catawba 2|100
08/18/2014|Clinton|98
08/18/2014|Columbia Generating Station|45
08/18/2014|Comanche Peak 1|100
08/18/2014|Comanche Peak 2|100
08/18/2014|Cooper|100
08/18/2014|D.C. Cook 1|100
08/18/2014|D.C. Cook 2|100
08/18/2014|Davis-Besse|100
08/18/2014|Diablo Canyon 1|100
08/18/2014|Diablo Canyon 2|2
08/18/2014|Dresden 2|100
08/18/2014|Dresden 3|100
08/18/2014|Duane Arnold|96
08/18/2014|Farley 1|100
08/18/2014|Farley 2|100
08/18/2014|Fermi 2|100
08/18/2014|FitzPatrick|50
08/18/2014|Fort Calhoun|100
08/18/2014|Ginna|100
08/18/2014|Grand Gulf 1|100
08/18/2014|Harris 1|100
08/18/2014|Hatch 1|100
08/18/2014|Hatch 2|100
08/18/2014|Hope Creek 1|100
08/18/2014|Indian Point 2|100
08/18/2014|Indian Point 3|100
08/18/2014|La Salle 1|100
08/18/2014|La Salle 2|8
08/18/2014|Limerick 1|100
08/18/2014|Limerick 2|100
08/18/2014|McGuire 1|100
08/18/2014|McGuire 2|100
08/18/2014|Millstone 2|100
08/18/2014|Millstone 3|100
08/18/2014|Monticello|88
08/18/2014|Nine Mile Point 1|100
08/18/2014|Nine Mile Point 2|100
08/18/2014|North Anna 1|100
08/18/2014|North Anna 2|100
08/18/2014|Oconee 1|100
08/18/2014|Oconee 2|100
08/18/2014|Oconee 3|100
08/18/2014|Oyster Creek|100
08/18/2014|Palisades|100
08/18/2014|Palo Verde 1|100
08/18/2014|Palo Verde 2|100
08/18/2014|Palo Verde 3|100
08/18/2014|Peach Bottom 2|100
08/18/2014|Peach Bottom 3|100
08/18/2014|Perry 1|100
08/18/2014|Pilgrim 1|21
08/18/2014|Point Beach 1|100
08/18/2014|Point Beach 2|100
08/18/2014|Prairie Island 1|100
08/18/2014|Prairie Island 2|100
08/18/2014|Quad Cities 1|100
08/18/2014|Quad Cities 2|100
08/18/2014|River Bend 1|100
08/18/2014|Robinson 2|100
08/18/2014|Saint Lucie 1|100
08/18/2014|Saint Lucie 2|100
08/18/2014|Salem 1|100
08/18/2014|Salem 2|100
08/18/2014|Seabrook 1|100
08/18/2014|Sequoyah 1|100
08/18/2014|Sequoyah 2|100
08/18/2014|South Texas 1|100
08/18/2014|South Texas 2|100
08/18/2014|Summer|100
08/18/2014|Surry 1|100
08/18/2014|Surry 2|100
08/18/2014|Susquehanna 1|100
08/18/2014|Susquehanna 2|100
08/18/2014|Three Mile Island 1|100
08/18/2014|Turkey Point 3|100
08/18/2014|Turkey Point 4|100
08/18/2014|Vermont Yankee|100
08/18/2014|Vogtle 1|100
08/18/2014|Vogtle 2|100
08/18/2014|Waterford 3|100
08/18/2014|Watts Bar 1|100
08/18/2014|Wolf Creek 1|100
08/17/2014|Arkansas Nuclear 1|100
08/17/2014|Arkansas Nuclear 2|100
08/17/2014|Beaver Valley 1|100
08/17/2014|Beaver Valley 2|100
08/17/2014|Braidwood 1|100
08/17/2014|Braidwood 2|100
08/17/2014|Browns Ferry 1|99
08/17/2014|Browns Ferry 2|100
08/17/2014|Browns Ferry 3|100
08/17/2014|Brunswick 1|100
08/17/2014|Brunswick 2|100
08/17/2014|Byron 1|100
08/17/2014|Byron 2|100
08/17/2014|Callaway|100
08/17/2014|Calvert Cliffs 1|100
08/17/2014|Calvert Cliffs 2|100
08/17/2014|Catawba 1|100
08/17/2014|Catawba 2|100
08/17/2014|Clinton|98
08/17/2014|Columbia Generating Station|65
08/17/2014|Comanche Peak 1|100
08/17/2014|Comanche Peak 2|100
08/17/2014|Cooper|100
08/17/2014|D.C. Cook 1|100
08/17/2014|D.C. Cook 2|100
08/17/2014|Davis-Besse|100
08/17/2014|Diablo Canyon 1|100
08/17/2014|Diablo Canyon 2|0
08/17/2014|Dresden 2|100
08/17/2014|Dresden 3|100
08/17/2014|Duane Arnold|95
08/17/2014|Farley 1|100
08/17/2014|Farley 2|100
08/17/2014|Fermi 2|100
08/17/2014|FitzPatrick|85
08/17/2014|Fort Calhoun|100
08/17/2014|Ginna|100
08/17/2014|Grand Gulf 1|92
08/17/2014|Harris 1|100
08/17/2014|Hatch 1|100
08/17/2014|Hatch 2|100
08/17/2014|Hope Creek 1|100
08/17/2014|Indian Point 2|100
08/17/2014|Indian Point 3|100
08/17/2014|La Salle 1|100
08/17/2014|La Salle 2|1
08/17/2014|Limerick 1|100
08/17/2014|Limerick 2|100
08/17/2014|McGuire 1|100
08/17/2014|McGuire 2|100
08/17/2014|Millstone 2|100
08/17/2014|Millstone 3|100
08/17/2014|Monticello|88
08/17/2014|Nine Mile Point 1|100
08/17/2014|Nine Mile Point 2|100
08/17/2014|North Anna 1|100
08/17/2014|North Anna 2|100
08/17/2014|Oconee 1|100
08/17/2014|Oconee 2|100
08/17/2014|Oconee 3|100
08/17/2014|Oyster Creek|100
08/17/2014|Palisades|100
08/17/2014|Palo Verde 1|100
08/17/2014|Palo Verde 2|100
08/17/2014|Palo Verde 3|100
08/17/2014|Peach Bottom 2|100
08/17/2014|Peach Bottom 3|100
08/17/2014|Perry 1|100
08/17/2014|Pilgrim 1|23
08/17/2014|Point Beach 1|100
08/17/2014|Point Beach 2|100
08/17/2014|Prairie Island 1|100
08/17/2014|Prairie Island 2|100
08/17/2014|Quad Cities 1|100
08/17/2014|Quad Cities 2|100
08/17/2014|River Bend 1|100
08/17/2014|Robinson 2|100
08/17/2014|Saint Lucie 1|100
08/17/2014|Saint Lucie 2|100
08/17/2014|Salem 1|100
08/17/2014|Salem 2|100
08/17/2014|Seabrook 1|100
08/17/2014|Sequoyah 1|100
08/17/2014|Sequoyah 2|100
08/17/2014|South Texas 1|100
08/17/2014|South Texas 2|100
08/17/2014|Summer|100
08/17/2014|Surry 1|100
08/17/2014|Surry 2|100
08/17/2014|Susquehanna 1|100
08/17/2014|Susquehanna 2|100
08/17/2014|Three Mile Island 1|100
08/17/2014|Turkey Point 3|100
08/17/2014|Turkey Point 4|100
08/17/2014|Vermont Yankee|100
08/17/2014|Vogtle 1|100
08/17/2014|Vogtle 2|100
08/17/2014|Waterford 3|100
08/17/2014|Watts Bar 1|100
08/17/2014|Wolf Creek 1|100
08/16/2014|Arkansas Nuclear 1|100
08/16/2014|Arkansas Nuclear 2|100
08/16/2014|Beaver Valley 1|100
08/16/2014|Beaver Valley 2|100
08/16/2014|Braidwood 1|100
08/16/2014|Braidwood 2|100
08/16/2014|Browns Ferry 1|99
08/16/2014|Browns Ferry 2|100
08/16/2014|Browns Ferry 3|100
08/16/2014|Brunswick 1|100
08/16/2014|Brunswick 2|100
08/16/2014|Byron 1|100
08/16/2014|Byron 2|100
08/16/2014|Callaway|100
08/16/2014|Calvert Cliffs 1|100
08/16/2014|Calvert Cliffs 2|100
08/16/2014|Catawba 1|100
08/16/2014|Catawba 2|100
08/16/2014|Clinton|98
08/16/2014|Columbia Generating Station|100
08/16/2014|Comanche Peak 1|100
08/16/2014|Comanche Peak 2|100
08/16/2014|Cooper|100
08/16/2014|D.C. Cook 1|100
08/16/2014|D.C. Cook 2|100
08/16/2014|Davis-Besse|100
08/16/2014|Diablo Canyon 1|100
08/16/2014|Diablo Canyon 2|0
08/16/2014|Dresden 2|100
08/16/2014|Dresden 3|100
08/16/2014|Duane Arnold|93
08/16/2014|Farley 1|100
08/16/2014|Farley 2|100
08/16/2014|Fermi 2|100
08/16/2014|FitzPatrick|85
08/16/2014|Fort Calhoun|100
08/16/2014|Ginna|100
08/16/2014|Grand Gulf 1|88
08/16/2014|Harris 1|100
08/16/2014|Hatch 1|100
08/16/2014|Hatch 2|99
08/16/2014|Hope Creek 1|100
08/16/2014|Indian Point 2|100
08/16/2014|Indian Point 3|30
08/16/2014|La Salle 1|100
08/16/2014|La Salle 2|0
08/16/2014|Limerick 1|100
08/16/2014|Limerick 2|100
08/16/2014|McGuire 1|100
08/16/2014|McGuire 2|100
08/16/2014|Millstone 2|100
08/16/2014|Millstone 3|100
08/16/2014|Monticello|88
08/16/2014|Nine Mile Point 1|100
08/16/2014|Nine Mile Point 2|100
08/16/2014|North Anna 1|100
08/16/2014|North Anna 2|100
08/16/2014|Oconee 1|100
08/16/2014|Oconee 2|100
08/16/2014|Oconee 3|98
08/16/2014|Oyster Creek|100
08/16/2014|Palisades|100
08/16/2014|Palo Verde 1|100
08/16/2014|Palo Verde 2|100
08/16/2014|Palo Verde 3|100
08/16/2014|Peach Bottom 2|100
08/16/2014|Peach Bottom 3|100
08/16/2014|Perry 1|100
08/16/2014|Pilgrim 1|100
08/16/2014|Point Beach 1|100
08/16/2014|Point Beach 2|100
08/16/2014|Prairie Island 1|100
08/16/2014|Prairie Island 2|100
08/16/2014|Quad Cities 1|100
08/16/2014|Quad Cities 2|100
08/16/2014|River Bend 1|100
08/16/2014|Robinson 2|100
08/16/2014|Saint Lucie 1|100
08/16/2014|Saint Lucie 2|100
08/16/2014|Salem 1|100
08/16/2014|Salem 2|100
08/16/2014|Seabrook 1|100
08/16/2014|Sequoyah 1|100
08/16/2014|Sequoyah 2|100
08/16/2014|South Texas 1|100
08/16/2014|South Texas 2|100
08/16/2014|Summer|100
08/16/2014|Surry 1|100
08/16/2014|Surry 2|100
08/16/2014|Susquehanna 1|100
08/16/2014|Susquehanna 2|100
08/16/2014|Three Mile Island 1|100
08/16/2014|Turkey Point 3|100
08/16/2014|Turkey Point 4|100
08/16/2014|Vermont Yankee|100
08/16/2014|Vogtle 1|100
08/16/2014|Vogtle 2|100
08/16/2014|Waterford 3|100
08/16/2014|Watts Bar 1|100
08/16/2014|Wolf Creek 1|100
08/15/2014|Arkansas Nuclear 1|100
08/15/2014|Arkansas Nuclear 2|100
08/15/2014|Beaver Valley 1|100
08/15/2014|Beaver Valley 2|100
08/15/2014|Braidwood 1|100
08/15/2014|Braidwood 2|100
08/15/2014|Browns Ferry 1|100
08/15/2014|Browns Ferry 2|100
08/15/2014|Browns Ferry 3|100
08/15/2014|Brunswick 1|100
08/15/2014|Brunswick 2|100
08/15/2014|Byron 1|100
08/15/2014|Byron 2|100
08/15/2014|Callaway|100
08/15/2014|Calvert Cliffs 1|100
08/15/2014|Calvert Cliffs 2|100
08/15/2014|Catawba 1|100
08/15/2014|Catawba 2|100
08/15/2014|Clinton|98
08/15/2014|Columbia Generating Station|100
08/15/2014|Comanche Peak 1|100
08/15/2014|Comanche Peak 2|100
08/15/2014|Cooper|100
08/15/2014|D.C. Cook 1|100
08/15/2014|D.C. Cook 2|100
08/15/2014|Davis-Besse|100
08/15/2014|Diablo Canyon 1|100
08/15/2014|Diablo Canyon 2|0
08/15/2014|Dresden 2|100
08/15/2014|Dresden 3|100
08/15/2014|Duane Arnold|96
08/15/2014|Farley 1|100
08/15/2014|Farley 2|100
08/15/2014|Fermi 2|100
08/15/2014|FitzPatrick|85
08/15/2014|Fort Calhoun|100
08/15/2014|Ginna|100
08/15/2014|Grand Gulf 1|88
08/15/2014|Harris 1|100
08/15/2014|Hatch 1|100
08/15/2014|Hatch 2|100
08/15/2014|Hope Creek 1|100
08/15/2014|Indian Point 2|100
08/15/2014|Indian Point 3|0
08/15/2014|La Salle 1|100
08/15/2014|La Salle 2|0
08/15/2014|Limerick 1|100
08/15/2014|Limerick 2|100
08/15/2014|McGuire 1|100
08/15/2014|McGuire 2|100
08/15/2014|Millstone 2|100
08/15/2014|Millstone 3|100
08/15/2014|Monticello|88
08/15/2014|Nine Mile Point 1|100
08/15/2014|Nine Mile Point 2|100
08/15/2014|North Anna 1|100
08/15/2014|North Anna 2|100
08/15/2014|Oconee 1|100
08/15/2014|Oconee 2|100
08/15/2014|Oconee 3|100
08/15/2014|Oyster Creek|100
08/15/2014|Palisades|100
08/15/2014|Palo Verde 1|100
08/15/2014|Palo Verde 2|100
08/15/2014|Palo Verde 3|100
08/15/2014|Peach Bottom 2|100
08/15/2014|Peach Bottom 3|100
08/15/2014|Perry 1|100
08/15/2014|Pilgrim 1|100
08/15/2014|Point Beach 1|100
08/15/2014|Point Beach 2|100
08/15/2014|Prairie Island 1|100
08/15/2014|Prairie Island 2|100
08/15/2014|Quad Cities 1|100
08/15/2014|Quad Cities 2|100
08/15/2014|River Bend 1|100
08/15/2014|Robinson 2|100
08/15/2014|Saint Lucie 1|100
08/15/2014|Saint Lucie 2|100
08/15/2014|Salem 1|100
08/15/2014|Salem 2|100
08/15/2014|Seabrook 1|97
08/15/2014|Sequoyah 1|100
08/15/2014|Sequoyah 2|100
08/15/2014|South Texas 1|100
08/15/2014|South Texas 2|100
08/15/2014|Summer|100
08/15/2014|Surry 1|100
08/15/2014|Surry 2|100
08/15/2014|Susquehanna 1|100
08/15/2014|Susquehanna 2|100
08/15/2014|Three Mile Island 1|100
08/15/2014|Turkey Point 3|100
08/15/2014|Turkey Point 4|95
08/15/2014|Vermont Yankee|100
08/15/2014|Vogtle 1|100
08/15/2014|Vogtle 2|100
08/15/2014|Waterford 3|100
08/15/2014|Watts Bar 1|100
08/15/2014|Wolf Creek 1|100
08/14/2014|Arkansas Nuclear 1|100
08/14/2014|Arkansas Nuclear 2|100
08/14/2014|Beaver Valley 1|100
08/14/2014|Beaver Valley 2|100
08/14/2014|Braidwood 1|100
08/14/2014|Braidwood 2|100
08/14/2014|Browns Ferry 1|100
08/14/2014|Browns Ferry 2|100
08/14/2014|Browns Ferry 3|100
08/14/2014|Brunswick 1|100
08/14/2014|Brunswick 2|100
08/14/2014|Byron 1|100
08/14/2014|Byron 2|100
08/14/2014|Callaway|100
08/14/2014|Calvert Cliffs 1|100
08/14/2014|Calvert Cliffs 2|100
08/14/2014|Catawba 1|100
08/14/2014|Catawba 2|100
08/14/2014|Clinton|98
08/14/2014|Columbia Generating Station|100
08/14/2014|Comanche Peak 1|100
08/14/2014|Comanche Peak 2|100
08/14/2014|Cooper|100
08/14/2014|D.C. Cook 1|100
08/14/2014|D.C. Cook 2|100
08/14/2014|Davis-Besse|100
08/14/2014|Diablo Canyon 1|100
08/14/2014|Diablo Canyon 2|100
08/14/2014|Dresden 2|100
08/14/2014|Dresden 3|100
08/14/2014|Duane Arnold|97
08/14/2014|Farley 1|100
08/14/2014|Farley 2|100
08/14/2014|Fermi 2|100
08/14/2014|FitzPatrick|50
08/14/2014|Fort Calhoun|100
08/14/2014|Ginna|100
08/14/2014|Grand Gulf 1|88
08/14/2014|Harris 1|100
08/14/2014|Hatch 1|100
08/14/2014|Hatch 2|100
08/14/2014|Hope Creek 1|100
08/14/2014|Indian Point 2|100
08/14/2014|Indian Point 3|0
08/14/2014|La Salle 1|100
08/14/2014|La Salle 2|0
08/14/2014|Limerick 1|100
08/14/2014|Limerick 2|100
08/14/2014|McGuire 1|100
08/14/2014|McGuire 2|100
08/14/2014|Millstone 2|100
08/14/2014|Millstone 3|100
08/14/2014|Monticello|88
08/14/2014|Nine Mile Point 1|100
08/14/2014|Nine Mile Point 2|98
08/14/2014|North Anna 1|100
08/14/2014|North Anna 2|100
08/14/2014|Oconee 1|100
08/14/2014|Oconee 2|100
08/14/2014|Oconee 3|100
08/14/2014|Oyster Creek|100
08/14/2014|Palisades|100
08/14/2014|Palo Verde 1|100
08/14/2014|Palo Verde 2|100
08/14/2014|Palo Verde 3|100
08/14/2014|Peach Bottom 2|100
08/14/2014|Peach Bottom 3|100
08/14/2014|Perry 1|100
08/14/2014|Pilgrim 1|100
08/14/2014|Point Beach 1|100
08/14/2014|Point Beach 2|100
08/14/2014|Prairie Island 1|100
08/14/2014|Prairie Island 2|100
08/14/2014|Quad Cities 1|100
08/14/2014|Quad Cities 2|100
08/14/2014|River Bend 1|100
08/14/2014|Robinson 2|100
08/14/2014|Saint Lucie 1|100
08/14/2014|Saint Lucie 2|100
08/14/2014|Salem 1|100
08/14/2014|Salem 2|100
08/14/2014|Seabrook 1|100
08/14/2014|Sequoyah 1|100
08/14/2014|Sequoyah 2|100
08/14/2014|South Texas 1|100
08/14/2014|South Texas 2|100
08/14/2014|Summer|100
08/14/2014|Surry 1|100
08/14/2014|Surry 2|100
